term_str,n,p,i,h,n_chars,max_pos,stem_porter,stem_snowball,stem_lancaster
alloys,482,0.01752026462142416,5.834831624588306,0.10222779408424135,6,NNS,alloy,alloy,alloy
alloy,374,0.013594562175129948,6.2008265009306305,0.08429752140409494,5,NN,alloy,alloy,alloy
lattice,367,0.013340118498055324,6.2280847079750545,0.08308338802031352,7,NN,lattic,lattic,lat
phase,270,0.009814256115735524,6.670905363767436,0.06546997376384747,5,NN,phase,phase,phas
high,218,0.007924103086038312,6.979536636041341,0.05530656779677265,4,JJ,high,high,high
bcc,163,0.005924902766166261,7.39899280658719,0.043838312946592704,3,NN,bcc,bcc,bcc
elements,163,0.005924902766166261,7.39899280658719,0.043838312946592704,8,NNS,element,element,el
temperature,159,0.005779506379266475,7.434838005533912,0.04296969368179608,11,NN,temperatur,temperatur,temp
heas,150,0.005452364508741958,7.5189022703223864,0.04099579588340511,4,NN,hea,hea,hea
fcc,149,0.005416015412017011,7.528552440356106,0.04077475604714695,3,NN,fcc,fcc,fcc
atomic,148,0.005379666315292065,7.538267595189318,0.04055336425749769,6,JJ,atom,atom,atom
structure,142,0.005161571734942387,7.5979738413135856,0.039217487022155835,9,NN,structur,structur,structure
solid,140,0.005088873541492494,7.6184379438733005,0.03876926728007932,5,JJ,solid,solid,solid
strength,121,0.004398240703718513,7.828857723543672,0.03443320070331083,8,NN,strength,strength,strength
addition,116,0.004216495220093781,7.889739965690695,0.03326705085311769,8,NN,addit,addit,addit
using,114,0.004143797026643888,7.914830946653526,0.03279745294313191,5,VBG,use,use,us
solution,111,0.004034749736469049,7.953305094468162,0.03208959563396336,8,NN,solut,solut,solv
properties,111,0.004034749736469049,7.953305094468162,0.03208959563396336,10,NNS,properti,properti,property
parameter,107,0.003889353349569263,8.00625397441712,0.031139150712901454,9,NN,paramet,paramet,paramet
composition,105,0.0038166551561193704,8.033475443152145,0.03066100547166498,11,NN,composit,composit,composit
size,101,0.003671258769219585,8.089509478066473,0.029698682610036487,4,NN,size,size,siz
parameters,94,0.00341681509214496,8.19313210914063,0.02799441744244917,10,NNS,paramet,paramet,paramet
entropy,93,0.003380465995420014,8.208562149710236,0.02774876521838726,7,NN,entropi,entropi,entrop
hardness,92,0.0033441168986950674,8.224159004761255,0.02750254910537732,8,NN,hard,hard,hard
phases,92,0.0033441168986950674,8.224159004761255,0.02750254910537732,6,NNS,phase,phase,phas
calculated,91,0.003307767801970121,8.23992632061957,0.027255762973951544,10,VBN,calcul,calcul,calc
different,90,0.0032714187052451747,8.255867864488593,0.027008400559920518,9,JJ,differ,differ,diff
elastic,88,0.003198720511795282,8.28828934218097,0.026511921126528493,7,JJ,elast,elast,elast
hea,85,0.0030896732216204427,8.338330024680566,0.02576271499028927,3,NN,hea,hea,hea
shown,82,0.0029806259314456036,8.390168956200183,0.025007955160060158,5,VBN,shown,shown,shown
mechanical,81,0.002944276834720657,8.407870957933643,0.024755099690764604,10,JJ,mechan,mechan,mech
energy,80,0.002907927737995711,8.425792865930905,0.024501596789446856,6,NN,energi,energi,energy
atoms,80,0.002907927737995711,8.425792865930905,0.024501596789446856,5,NNS,atom,atom,atom
also,79,0.0028715786412707644,8.443940212641165,0.024247438362787685,4,RB,also,also,also
results,78,0.002835229544545818,8.462318741956018,0.023992616112557503,7,NNS,result,result,result
materials,77,0.0027988804478208716,8.480934420123367,0.023737121527734332,9,NNS,materi,materi,mat
formation,76,0.0027625313510959253,8.499793447374682,0.023480945876212272,9,NN,format,format,form
xrd,76,0.0027625313510959253,8.499793447374682,0.023480945876212272,3,NN,xrd,xrd,xrd
alloying,76,0.0027625313510959253,8.499793447374682,0.023480945876212272,8,VBG,alloy,alloy,alloy
constants,73,0.002653484060921086,8.55789640193825,0.022708241697557058,9,NNS,constant,constant,const
due,73,0.002653484060921086,8.55789640193825,0.022708241697557058,3,JJ,due,due,due
experimental,73,0.002653484060921086,8.55789640193825,0.022708241697557058,12,NN,experiment,experiment,expery
observed,72,0.0026171349641961397,8.577795959375955,0.02244924972102318,8,VBN,observ,observ,observ
binary,72,0.0026171349641961397,8.577795959375955,0.02244924972102318,6,NN,binari,binari,bin
respectively,72,0.0026171349641961397,8.577795959375955,0.02244924972102318,12,RB,respect,respect,respect
increase,72,0.0026171349641961397,8.577795959375955,0.02244924972102318,8,NN,increas,increas,increas
values,69,0.0025080876740213006,8.639196504040099,0.021667862265230882,6,NNS,valu,valu,valu
two,69,0.0025080876740213006,8.639196504040099,0.021667862265230882,3,CD,two,two,two
theory,67,0.002435389480571408,8.681631770360495,0.021143154687730478,6,NN,theori,theori,the
modulus,67,0.002435389480571408,8.681631770360495,0.021143154687730478,7,NN,modulu,modulus,modul
yield,66,0.0023990403838464614,8.703326841459814,0.020879632566476965,5,NN,yield,yield,yield
strengthening,65,0.002362691287121515,8.725353147789813,0.020615315859341274,13,VBG,strengthen,strengthen,strengthening
distortion,64,0.0023263421903965686,8.747720960818267,0.020350192340967944,10,NN,distort,distort,distort
milling,64,0.0023263421903965686,8.747720960818267,0.020350192340967944,7,NN,mill,mill,mil
used,61,0.0022172949002217295,8.81698362325538,0.01954985282318266,4,VBN,use,use,us
found,61,0.0022172949002217295,8.81698362325538,0.01954985282318266,5,NN,found,found,found
data,60,0.002180945803496783,8.840830365209749,0.019281371884431135,4,NNS,data,data,dat
misfit,59,0.0021445967067718367,8.865077911456426,0.019012016894185205,6,NN,misfit,misfit,misfit
heat,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,4,NN,heat,heat,heat
work,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,4,NN,work,work,work
however,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,7,RB,howev,howev,howev
constant,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,8,JJ,constant,constant,const
mpa,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,3,NN,mpa,mpa,mpa
method,58,0.0021082476100468903,8.889739965690696,0.018741773036605736,6,NN,method,method,method
increases,57,0.002071898513321944,8.914830946653526,0.0184706249848879,9,NNS,increas,increas,increas
concentration,57,0.002071898513321944,8.914830946653526,0.0184706249848879,13,NN,concentr,concentr,cont
obtained,57,0.002071898513321944,8.914830946653526,0.0184706249848879,8,VBN,obtain,obtain,obtain
diffraction,57,0.002071898513321944,8.914830946653526,0.0184706249848879,11,NN,diffract,diffract,diffract
system,57,0.002071898513321944,8.914830946653526,0.0184706249848879,6,NN,system,system,system
volume,56,0.0020355494165969976,8.940366038760663,0.01819855687436288,6,NN,volum,volum,volum
value,56,0.0020355494165969976,8.940366038760663,0.01819855687436288,5,NN,valu,valu,valu
one,56,0.0020355494165969976,8.940366038760663,0.01819855687436288,3,CD,one,one,on
effect,55,0.001999200319872051,8.966361247293607,0.017925552273677745,6,NN,effect,effect,effect
reported,54,0.001962851223147105,8.992833458654799,0.01765159415387878,8,VBD,report,report,report
model,54,0.001962851223147105,8.992833458654799,0.01765159415387878,5,NN,model,model,model
similar,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,7,JJ,similar,similar,simil
rhea,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,4,NN,rhea,rhea,rhe
present,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,7,NN,present,present,pres
volumes,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,7,NNS,volum,volum,volum
ternary,53,0.0019265021264221584,9.019800506255068,0.01737666485520405,7,JJ,ternari,ternari,tern
well,52,0.001890153029697212,9.047281242677174,0.017100746051369017,4,RB,well,well,wel
thermal,52,0.001890153029697212,9.047281242677174,0.017100746051369017,7,NN,thermal,thermal,therm
electron,51,0.0018538039329722656,9.075295618846772,0.016823818711104117,8,NN,electron,electron,electron
type,51,0.0018538039329722656,9.075295618846772,0.016823818711104117,4,NN,type,type,typ
based,51,0.0018538039329722656,9.075295618846772,0.016823818711104117,5,VBN,base,base,bas
crystal,51,0.0018538039329722656,9.075295618846772,0.016823818711104117,7,NN,crystal,crystal,cryst
shows,50,0.0018174548362473193,9.103864771043543,0.016545863056674683,5,NNS,show,show,show
determined,50,0.0018174548362473193,9.103864771043543,0.016545863056674683,10,VBN,determin,determin,determin
samples,49,0.0017811057395223729,9.13301111670306,0.016266858519081454,7,NNS,sampl,sampl,sampl
peaks,49,0.0017811057395223729,9.13301111670306,0.016266858519081454,5,NNS,peak,peak,peak
magnetic,49,0.0017811057395223729,9.13301111670306,0.016266858519081454,8,JJ,magnet,magnet,magnet
element,48,0.0017447566427974265,9.16275846009711,0.01598678368960275,7,NN,element,element,el
