term_str,n,p,i,h,n_chars,max_pos,stem_porter,stem_snowball,stem_lancaster,df,idf,tfidf_mean,tfidf_max,dfidf
alloys,482,0.01752026462142416,5.834831624588306,0.10222779408424135,6,NNS,alloy,alloy,alloy,163,0.2749507710732287,0.009353585010149476,0.04999104928604158,44.816975684936274
alloy,374,0.013594562175129948,6.2008265009306305,0.08429752140409494,5,NN,alloy,alloy,alloy,160,0.2830183928212617,0.00772976195602403,0.03537729910265771,45.28294285140187
lattice,367,0.013340118498055324,6.2280847079750545,0.08308338802031352,7,NN,lattic,lattic,lat,136,0.353599467106969,0.011215998224488332,0.040576988028668576,48.08952752654778
phase,270,0.009814256115735524,6.670905363767436,0.06546997376384747,5,NN,phase,phase,phas,88,0.5426557033270178,0.01597140835353207,0.0561367968958984,47.75370189277757
high,218,0.007924103086038312,6.979536636041341,0.05530656779677265,4,JJ,high,high,high,109,0.4497118775365629,0.010218905602487316,0.039105380655353295,49.01859465148535
bcc,163,0.005924902766166261,7.39899280658719,0.043838312946592704,3,NN,bcc,bcc,bcc,83,0.5680602831011126,0.014640651313264825,0.054100979342963096,47.14900349739234
elements,163,0.005924902766166261,7.39899280658719,0.043838312946592704,8,NNS,element,element,el,89,0.5377483688322737,0.00957953675069978,0.03432436396801747,47.85960482607236
temperature,159,0.005779506379266475,7.434838005533912,0.04296969368179608,11,NN,temperatur,temperatur,temp,80,0.5840483884852429,0.012115054020424157,0.03937404866192649,46.72387107881943
heas,150,0.005452364508741958,7.5189022703223864,0.04099579588340511,4,NN,hea,hea,hea,74,0.6179066557462103,0.015144168891765787,0.047531281211246945,45.72509252521956
fcc,149,0.005416015412017011,7.528552440356106,0.04077475604714695,3,NN,fcc,fcc,fcc,78,0.5950437727867061,0.01147336587579692,0.0540948884351551,46.413414277363074
atomic,148,0.005379666315292065,7.538267595189318,0.04055336425749769,6,JJ,atom,atom,atom,78,0.5950437727867061,0.012235692351447587,0.07000514973961247,46.413414277363074
structure,142,0.005161571734942387,7.5979738413135856,0.039217487022155835,9,NN,structur,structur,structure,81,0.5786533565985368,0.010639941381490946,0.03733247461926044,46.87092188448148
solid,140,0.005088873541492494,7.6184379438733005,0.03876926728007932,5,JJ,solid,solid,solid,86,0.5526399242336187,0.010599982678619588,0.03684266161557458,47.52703348409121
strength,121,0.004398240703718513,7.828857723543672,0.03443320070331083,8,NN,strength,strength,strength,62,0.6947466859789326,0.014580402076877596,0.04736909222583631,43.07429453069382
addition,116,0.004216495220093781,7.889739965690695,0.03326705085311769,8,NN,addit,addit,addit,61,0.7018085404664194,0.017519395422190456,0.12031003550852903,42.810320968451585
using,114,0.004143797026643888,7.914830946653526,0.03279745294313191,5,VBG,use,use,us,75,0.6120771120854864,0.011659833940781805,0.04533904533966566,45.90578340641148
solution,111,0.004034749736469049,7.953305094468162,0.03208959563396336,8,NN,solut,solut,solv,69,0.6482892847399312,0.011592390354714543,0.04321928564932875,44.73196064705525
properties,111,0.004034749736469049,7.953305094468162,0.03208959563396336,10,NNS,properti,properti,property,77,0.6006476503047047,0.011988815588257267,0.12012953006094094,46.249869073462264
parameter,107,0.003889353349569263,8.00625397441712,0.031139150712901454,9,NN,paramet,paramet,paramet,60,0.7089871250935428,0.015585271321119977,0.06219185307838094,42.539227505612565
composition,105,0.0038166551561193704,8.033475443152145,0.03066100547166498,11,NN,composit,composit,composit,72,0.629805879045918,0.011772084414694671,0.0419870586030612,45.346023291306096
size,101,0.003671258769219585,8.089509478066473,0.029698682610036487,4,NN,size,size,siz,61,0.7018085404664194,0.014747646701448293,0.05398527234357073,42.810320968451585
parameters,94,0.00341681509214496,8.19313210914063,0.02799441744244917,10,NNS,paramet,paramet,paramet,63,0.6877978260236047,0.013830923998088175,0.08253573912283256,43.3312630394871
entropy,93,0.003380465995420014,8.208562149710236,0.02774876521838726,7,NN,entropi,entropi,entrop,50,0.7881683711411677,0.017455117586904587,0.05629774079579769,39.40841855705838
hardness,92,0.0033441168986950674,8.224159004761255,0.02750254910537732,8,NN,hard,hard,hard,40,0.885078384149224,0.03349590982167071,0.0983420426832471,35.403135365968964
phases,92,0.0033441168986950674,8.224159004761255,0.02750254910537732,6,NNS,phase,phase,phas,46,0.8243805437956124,0.019780365682088144,0.08243805437956125,37.921505014598175
calculated,91,0.003307767801970121,8.23992632061957,0.027255762973951544,10,VBN,calcul,calcul,calc,51,0.7795681993792501,0.01783037937936491,0.06838317538414475,39.75797816834176
different,90,0.0032714187052451747,8.255867864488593,0.027008400559920518,9,JJ,differ,differ,diff,67,0.66106357277636,0.009024825749367103,0.04559059122595586,44.291259376016114
